Date,Open,High,Low,Close,Volume,Adj Close
"Oct 21, 2019","8,225.12","8,296.69","8,196.42","8,243.72","15,868,748,866","8,243.72"
"Oct 20, 2019","7,997.81","8,281.82","7,949.44","8,222.08","15,504,249,442","8,222.08"
"Oct 19, 2019","7,973.80","8,082.63","7,944.78","7,988.56","13,797,825,640","7,988.56"
"Oct 18, 2019","8,100.93","8,138.41","7,902.16","7,973.21","15,651,592,610","7,973.21"
"Oct 17, 2019","8,047.81","8,134.83","8,000.94","8,103.91","14,313,052,244","8,103.91"
"Oct 16, 2019","8,204.67","8,216.81","7,985.09","8,047.53","16,071,646,996","8,047.53"
"Oct 15, 2019","8,373.46","8,410.71","8,182.71","8,205.37","15,220,412,632","8,205.37"
"Oct 14, 2019","8,320.83","8,390.21","8,284.13","8,374.69","15,151,387,859","8,374.69"
"Oct 13, 2019","8,336.90","8,470.99","8,276.61","8,321.01","13,808,286,059","8,321.01"
"Oct 12, 2019","8,315.67","8,415.24","8,313.34","8,336.56","14,532,641,605","8,336.56"
"Oct 11, 2019","8,585.26","8,721.78","8,316.18","8,321.76","19,604,381,101","8,321.76"
"Oct 10, 2019","8,585.28","8,625.27","8,471.93","8,586.47","17,618,660,671","8,586.47"
"Oct 9, 2019","8,229.84","8,627.71","8,169.30","8,595.74","19,384,942,333","8,595.74"
"Oct 8, 2019","8,246.85","8,332.71","8,185.76","8,228.78","15,592,264,032","8,228.78"
"Oct 7, 2019","7,989.12","8,308.45","7,905.77","8,245.62","18,009,742,607","8,245.62"
"Oct 6, 2019","8,149.88","8,161.41","7,958.85","7,988.16","13,160,830,305","7,988.16"
"Oct 5, 2019","8,210.15","8,215.53","8,071.12","8,151.50","12,200,497,197","8,151.50"
"Oct 4, 2019","8,259.49","8,260.06","8,151.24","8,205.94","13,139,456,229","8,205.94"
"Oct 3, 2019","8,390.77","8,414.23","8,146.44","8,259.99","13,668,823,409","8,259.99"
"Oct 2, 2019","8,344.21","8,393.04","8,227.70","8,393.04","13,125,712,443","8,393.04"
"Oct 1, 2019","8,299.72","8,497.69","8,232.68","8,343.28","15,305,343,413","8,343.28"
"Sep 30, 2019","8,104.23","8,314.23","7,830.76","8,293.87","17,115,474,183","8,293.87"
"Sep 29, 2019","8,246.04","8,261.71","7,990.50","8,104.19","13,034,629,109","8,104.19"
"Sep 28, 2019","8,251.27","8,285.62","8,125.43","8,245.92","14,141,152,736","8,245.92"
"Sep 27, 2019","8,113.10","8,271.52","7,965.92","8,251.85","16,408,941,156","8,251.85"
"Sep 26, 2019","8,487.67","8,515.69","7,895.63","8,118.97","19,258,205,289","8,118.97"
"Sep 25, 2019","8,603.43","8,744.83","8,325.40","8,486.99","21,744,728,353","8,486.99"
"Sep 24, 2019","9,729.32","9,804.32","8,370.80","8,620.57","25,002,886,689","8,620.57"
"Sep 23, 2019","10,067.96","10,074.24","9,727.14","9,729.32","15,144,925,408","9,729.32"
"Sep 22, 2019","10,024.12","10,074.44","9,922.53","10,070.39","13,199,651,698","10,070.39"
"Sep 21, 2019","10,183.65","10,188.10","10,000.71","10,019.72","13,425,266,806","10,019.72"
"Sep 20, 2019","10,266.32","10,285.87","10,132.19","10,181.64","14,734,189,639","10,181.64"
"Sep 19, 2019","10,200.50","10,295.67","9,851.69","10,266.42","19,937,691,247","10,266.42"
"Sep 18, 2019","10,247.80","10,275.93","10,191.47","10,198.25","16,169,268,880","10,198.25"
"Sep 17, 2019","10,281.51","10,296.77","10,199.74","10,241.27","15,304,603,363","10,241.27"
"Sep 16, 2019","10,347.22","10,386.87","10,189.74","10,276.79","15,160,167,779","10,276.79"
"Sep 15, 2019","10,356.47","10,387.04","10,313.09","10,347.71","12,043,433,567","10,347.71"
"Sep 14, 2019","10,345.40","10,422.13","10,291.69","10,358.05","13,468,713,124","10,358.05"
"Sep 13, 2019","10,415.36","10,441.49","10,226.60","10,360.55","14,109,864,675","10,360.55"
"Sep 12, 2019","10,176.82","10,442.25","10,099.24","10,410.13","15,323,563,925","10,410.13"
"Sep 11, 2019","10,123.04","10,215.95","9,980.78","10,178.37","15,428,063,426","10,178.37"
"Sep 10, 2019","10,336.41","10,394.35","10,020.57","10,115.98","14,906,809,639","10,115.98"
"Sep 9, 2019","10,443.23","10,450.31","10,144.93","10,334.97","17,595,943,368","10,334.97"
"Sep 8, 2019","10,518.11","10,595.64","10,409.09","10,441.28","13,670,567,493","10,441.28"
"Sep 7, 2019","10,353.93","10,558.67","10,348.92","10,517.25","15,307,366,476","10,517.25"
"Sep 6, 2019","10,578.20","10,898.76","10,292.30","10,353.30","19,536,574,783","10,353.30"
"Sep 5, 2019","10,588.18","10,627.27","10,516.42","10,575.53","14,551,239,508","10,575.53"
"Sep 4, 2019","10,621.18","10,762.64","10,434.71","10,594.49","16,742,664,769","10,594.49"
"Sep 3, 2019","10,345.73","10,736.10","10,308.55","10,623.54","19,384,917,989","10,623.54"
"Sep 2, 2019","9,757.47","10,396.59","9,730.65","10,346.76","17,248,102,294","10,346.76"
"Sep 1, 2019","9,630.59","9,796.76","9,582.94","9,757.97","11,445,355,859","9,757.97"
"Aug 31, 2019","9,597.54","9,673.22","9,531.80","9,630.66","11,454,806,419","9,630.66"
"Aug 30, 2019","9,514.84","9,656.12","9,428.30","9,598.17","13,595,263,986","9,598.17"
"Aug 29, 2019","9,756.79","9,756.79","9,421.63","9,510.20","17,045,878,501","9,510.20"
"Aug 28, 2019","10,203.43","10,279.37","9,716.66","9,754.42","17,603,790,323","9,754.42"
"Aug 27, 2019","10,372.83","10,381.33","10,087.30","10,185.50","14,762,609,503","10,185.50"
"Aug 26, 2019","10,126.30","10,512.33","10,126.30","10,370.82","18,438,654,080","10,370.82"
"Aug 25, 2019","10,160.74","10,304.62","10,008.79","10,138.52","14,153,856,610","10,138.52"
"Aug 24, 2019","10,407.64","10,418.02","9,982.30","10,159.96","15,451,030,650","10,159.96"
"Aug 23, 2019","10,136.31","10,442.44","10,078.19","10,407.96","15,627,023,886","10,407.96"
"Aug 22, 2019","10,142.52","10,233.00","9,831.46","10,131.06","17,097,508,856","10,131.06"
"Aug 21, 2019","10,764.57","10,798.73","9,962.72","10,138.05","19,473,084,768","10,138.05"
"Aug 20, 2019","10,916.35","10,947.04","10,618.96","10,763.23","15,053,082,175","10,763.23"
"Aug 19, 2019","10,350.28","10,916.05","10,313.20","10,916.05","16,038,264,603","10,916.05"
"Aug 18, 2019","10,233.01","10,487.07","10,119.09","10,345.81","12,999,813,869","10,345.81"
"Aug 17, 2019","10,358.72","10,452.63","10,086.70","10,231.74","13,778,035,685","10,231.74"
"Aug 16, 2019","10,319.42","10,524.35","9,855.48","10,374.34","20,228,207,096","10,374.34"
"Aug 15, 2019","10,038.42","10,437.41","9,675.32","10,311.55","22,899,115,082","10,311.55"
"Aug 14, 2019","10,889.49","10,889.56","10,028.14","10,051.70","19,990,838,300","10,051.70"
"Aug 13, 2019","11,385.05","11,420.05","10,830.33","10,895.83","16,681,503,537","10,895.83"
"Aug 12, 2019","11,528.19","11,528.19","11,320.95","11,382.62","13,647,198,229","11,382.62"
"Aug 11, 2019","11,349.74","11,523.58","11,248.29","11,523.58","15,774,371,518","11,523.58"
"Aug 10, 2019","11,861.56","11,915.66","11,323.90","11,354.02","18,125,355,447","11,354.02"
"Aug 9, 2019","11,953.47","11,970.46","11,709.75","11,862.94","18,339,989,960","11,862.94"
"Aug 8, 2019","11,954.04","11,979.42","11,556.17","11,966.41","19,481,591,730","11,966.41"
"Aug 7, 2019","11,476.19","12,036.99","11,433.70","11,941.97","22,194,988,641","11,941.97"
"Aug 6, 2019","11,811.54","12,273.82","11,290.73","11,478.17","23,635,107,660","11,478.17"
"Aug 5, 2019","10,960.74","11,895.09","10,960.74","11,805.65","23,875,988,832","11,805.65"
"Aug 4, 2019","10,821.63","11,009.21","10,620.28","10,970.18","16,530,894,787","10,970.18"
"Aug 3, 2019","10,519.28","10,946.78","10,503.50","10,821.73","15,352,685,061","10,821.73"
"Aug 2, 2019","10,402.04","10,657.95","10,371.01","10,518.17","17,489,094,082","10,518.17"
"Aug 1, 2019","10,077.44","10,446.92","9,922.02","10,399.67","17,165,337,858","10,399.67"
"Jul 31, 2019","9,604.05","10,085.63","9,598.10","10,085.63","16,631,520,648","10,085.63"
"Jul 30, 2019","9,522.33","9,701.76","9,437.34","9,607.42","13,829,811,132","9,607.42"
"Jul 29, 2019","9,548.18","9,681.65","9,472.95","9,519.15","13,791,445,323","9,519.15"
"Jul 28, 2019","9,491.63","9,575.54","9,252.30","9,552.86","13,738,687,093","9,552.86"
"Jul 27, 2019","9,871.17","10,167.32","9,411.52","9,477.68","16,817,809,536","9,477.68"
"Jul 26, 2019","9,913.13","9,916.52","9,717.98","9,870.30","14,495,714,483","9,870.30"
"Jul 25, 2019","9,809.10","10,154.25","9,773.96","9,911.84","15,821,952,090","9,911.84"
"Jul 24, 2019","9,887.73","9,908.80","9,614.31","9,811.93","17,398,734,322","9,811.93"
"Jul 23, 2019","10,346.75","10,346.75","9,883.59","9,900.77","17,851,916,995","9,900.77"
"Jul 22, 2019","10,596.95","10,651.79","10,154.92","10,343.11","16,334,414,913","10,343.11"
"Jul 21, 2019","10,777.53","10,841.89","10,389.60","10,599.11","17,130,580,467","10,599.11"
"Jul 20, 2019","10,525.82","11,048.66","10,451.28","10,767.14","20,206,615,155","10,767.14"
"Jul 19, 2019","10,653.96","10,716.98","10,229.63","10,530.73","20,727,426,310","10,530.73"
"Jul 18, 2019","9,698.50","10,736.84","9,376.80","10,666.48","25,187,024,648","10,666.48"
"Jul 17, 2019","9,471.21","9,963.13","9,163.13","9,693.80","24,569,921,549","9,693.80"
"Jul 16, 2019","10,896.65","10,996.63","9,448.11","9,477.64","24,151,199,070","9,477.64"
"Jul 15, 2019","10,257.84","11,052.77","9,992.01","10,895.09","25,384,047,207","10,895.09"
"Jul 14, 2019","11,381.02","11,451.20","10,234.58","10,256.06","22,486,000,001","10,256.06"
"Jul 13, 2019","11,813.13","11,841.96","10,908.48","11,392.38","21,042,616,384","11,392.38"
"Jul 12, 2019","11,354.30","11,905.49","11,179.14","11,815.99","23,534,692,797","11,815.99"
"Jul 11, 2019","12,139.71","12,144.62","11,158.92","11,358.66","28,595,327,690","11,358.66"
"Jul 10, 2019","12,571.54","13,129.53","11,710.98","12,156.51","33,627,574,244","12,156.51"
"Jul 9, 2019","12,284.33","12,779.13","12,233.26","12,573.81","28,167,921,523","12,573.81"
"Jul 8, 2019","11,446.60","12,345.83","11,393.37","12,285.96","23,482,551,458","12,285.96"
"Jul 7, 2019","11,217.62","11,541.62","11,148.80","11,450.85","19,369,044,277","11,450.85"
"Jul 6, 2019","10,982.54","11,620.96","10,982.54","11,208.55","21,092,024,306","11,208.55"
"Jul 5, 2019","11,203.10","11,395.66","10,874.96","10,978.46","23,838,480,210","10,978.46"
"Jul 4, 2019","11,972.72","12,006.08","11,166.57","11,215.44","25,920,294,033","11,215.44"
"Jul 3, 2019","10,818.16","11,968.08","10,818.16","11,961.27","30,796,494,294","11,961.27"
"Jul 2, 2019","10,588.68","10,912.19","9,737.88","10,801.68","31,015,895,223","10,801.68"
"Jul 1, 2019","10,796.93","11,206.44","10,089.31","10,583.13","29,378,589,324","10,583.13"
"Jun 30, 2019","11,931.99","12,178.38","10,799.01","10,817.16","27,256,473,494","10,817.16"
"Jun 29, 2019","12,400.76","12,400.91","11,508.38","11,959.37","29,923,961,128","11,959.37"
"Jun 28, 2019","11,162.17","12,445.17","10,914.50","12,407.33","35,087,757,766","12,407.33"
"Jun 27, 2019","13,017.13","13,311.14","10,491.85","11,182.81","39,977,475,223","11,182.81"
"Jun 26, 2019","11,778.58","13,796.49","11,755.60","13,016.23","45,105,733,173","13,016.23"
"Jun 25, 2019","11,007.20","11,790.92","11,007.20","11,790.92","24,879,684,533","11,790.92"
"Jun 24, 2019","10,853.74","11,065.90","10,610.43","11,011.10","19,271,652,365","11,011.10"
"Jun 23, 2019","10,696.69","11,246.14","10,556.10","10,855.37","20,998,326,502","10,855.37"
"Jun 22, 2019","10,175.92","11,157.35","10,107.04","10,701.69","29,995,204,861","10,701.69"
"Jun 21, 2019","9,525.07","10,144.56","9,525.07","10,144.56","20,624,008,643","10,144.56"
"Jun 20, 2019","9,273.06","9,594.42","9,232.48","9,527.16","17,846,823,784","9,527.16"
"Jun 19, 2019","9,078.73","9,299.62","9,070.40","9,273.52","15,546,809,946","9,273.52"
"Jun 18, 2019","9,335.47","9,348.37","9,004.90","9,081.76","15,848,210,536","9,081.76"
"Jun 17, 2019","8,988.92","9,416.41","8,988.92","9,320.35","15,562,951,919","9,320.35"
"Jun 16, 2019","8,841.44","9,335.87","8,814.56","8,994.49","23,348,550,311","8,994.49"
"Jun 15, 2019","8,689.75","8,859.13","8,618.40","8,838.38","18,371,033,226","8,838.38"
"Jun 14, 2019","8,230.90","8,710.64","8,183.39","8,693.83","19,831,162,906","8,693.83"
"Jun 13, 2019","8,145.55","8,311.57","8,087.06","8,230.92","18,669,407,147","8,230.92"
"Jun 12, 2019","7,925.43","8,196.65","7,862.36","8,145.86","19,034,432,883","8,145.86"
"Jun 11, 2019","8,004.24","8,026.39","7,772.80","7,927.71","17,107,279,932","7,927.71"
"Jun 10, 2019","7,692.28","8,031.91","7,586.73","8,000.33","18,689,275,117","8,000.33"
"Jun 9, 2019","7,949.67","7,975.97","7,583.22","7,688.08","16,610,726,547","7,688.08"
"Jun 8, 2019","8,036.77","8,076.89","7,837.61","7,954.13","16,522,722,810","7,954.13"
"Jun 7, 2019","7,826.90","8,126.15","7,788.37","8,043.95","19,141,423,231","8,043.95"
"Jun 6, 2019","7,819.63","7,937.34","7,571.47","7,822.02","19,474,611,077","7,822.02"
"Jun 5, 2019","7,704.34","7,901.85","7,668.67","7,824.23","21,760,923,463","7,824.23"
"Jun 4, 2019","8,210.99","8,210.99","7,564.49","7,707.77","24,609,731,549","7,707.77"
"Jun 3, 2019","8,741.75","8,743.50","8,204.19","8,209.00","22,004,511,436","8,209.00"
"Jun 2, 2019","8,565.47","8,809.30","8,561.24","8,742.96","20,266,216,022","8,742.96"
"Jun 1, 2019","8,573.84","8,625.60","8,481.58","8,564.02","22,488,303,544","8,564.02"
"May 31, 2019","8,320.29","8,586.66","8,172.55","8,574.50","25,365,190,957","8,574.50"
"May 30, 2019","8,661.76","9,008.31","8,221.27","8,319.47","29,246,528,551","8,319.47"
"May 29, 2019","8,718.59","8,755.85","8,482.73","8,659.49","23,473,479,966","8,659.49"
"May 28, 2019","8,802.76","8,807.02","8,634.72","8,719.96","24,226,919,267","8,719.96"
"May 27, 2019","8,674.07","8,907.17","8,668.71","8,805.78","27,949,839,564","8,805.78"
"May 26, 2019","8,055.21","8,687.52","7,924.67","8,673.22","26,677,970,091","8,673.22"
"May 25, 2019","7,991.89","8,117.93","7,965.98","8,052.54","22,256,813,107","8,052.54"
"May 24, 2019","7,881.70","8,140.72","7,824.45","7,987.37","25,919,126,991","7,987.37"
"May 23, 2019","7,677.27","7,943.79","7,533.20","7,881.85","24,457,107,820","7,881.85"
"May 22, 2019","7,956.29","7,997.61","7,615.99","7,680.07","24,719,473,175","7,680.07"
"May 21, 2019","7,977.97","8,062.17","7,843.34","7,963.33","25,127,245,056","7,963.33"
"May 20, 2019","8,196.92","8,200.97","7,678.78","7,978.31","23,843,404,340","7,978.31"
"May 19, 2019","7,267.96","8,261.94","7,267.96","8,197.69","25,902,422,040","8,197.69"
"May 18, 2019","7,341.66","7,447.27","7,251.50","7,271.21","21,354,286,562","7,271.21"
"May 17, 2019","7,886.93","7,929.15","7,038.12","7,343.90","30,066,644,905","7,343.90"
"May 16, 2019","8,194.50","8,320.82","7,729.61","7,884.91","33,167,197,581","7,884.91"
"May 15, 2019","7,989.37","8,216.42","7,899.11","8,205.17","28,344,112,920","8,205.17"
"May 14, 2019","7,807.88","8,268.71","7,696.39","7,994.42","32,031,452,227","7,994.42"
"May 13, 2019","6,971.18","8,047.41","6,898.28","7,814.92","28,677,672,181","7,814.92"
"May 12, 2019","7,203.51","7,503.87","6,815.77","6,972.37","27,773,333,680","6,972.37"
"May 11, 2019","6,379.67","7,333.00","6,375.70","7,204.77","28,867,562,329","7,204.77"
"May 10, 2019","6,175.82","6,434.62","6,161.52","6,378.85","19,419,875,368","6,378.85"
"May 9, 2019","5,982.32","6,183.04","5,982.32","6,174.53","16,784,645,411","6,174.53"
"May 8, 2019","5,849.48","5,989.98","5,794.72","5,982.46","15,320,605,300","5,982.46"
"May 7, 2019","5,745.60","5,988.18","5,741.40","5,829.50","18,026,409,033","5,829.50"
"May 6, 2019","5,791.69","5,802.96","5,653.69","5,746.81","15,737,171,804","5,746.81"
"May 5, 2019","5,831.07","5,833.86","5,708.04","5,795.71","14,808,830,723","5,795.71"
"May 4, 2019","5,769.20","5,886.89","5,645.47","5,831.17","17,567,780,766","5,831.17"
"May 3, 2019","5,505.55","5,865.88","5,490.20","5,768.29","18,720,780,006","5,768.29"
"May 2, 2019","5,402.42","5,522.26","5,394.22","5,505.28","14,644,460,907","5,505.28"
"May 1, 2019","5,350.91","5,418.00","5,347.65","5,402.70","13,679,528,236","5,402.70"
"Apr 30, 2019","5,247.73","5,363.26","5,224.19","5,350.73","13,878,964,574","5,350.73"
"Apr 29, 2019","5,284.86","5,311.27","5,216.49","5,247.35","13,735,490,672","5,247.35"
"Apr 28, 2019","5,271.75","5,326.23","5,255.68","5,285.14","12,819,992,056","5,285.14"
"Apr 27, 2019","5,279.47","5,310.75","5,233.64","5,268.29","13,111,274,675","5,268.29"
"Apr 26, 2019","5,210.30","5,383.63","5,177.37","5,279.35","16,812,108,040","5,279.35"
"Apr 25, 2019","5,466.52","5,542.24","5,181.34","5,210.52","15,330,283,408","5,210.52"
"Apr 24, 2019","5,571.51","5,642.04","5,418.26","5,464.87","17,048,033,399","5,464.87"
"Apr 23, 2019","5,399.37","5,633.80","5,389.41","5,572.36","15,867,308,108","5,572.36"
"Apr 22, 2019","5,312.49","5,422.69","5,280.28","5,399.37","14,601,631,648","5,399.37"
"Apr 21, 2019","5,335.88","5,359.92","5,257.34","5,314.53","13,731,844,223","5,314.53"
"Apr 20, 2019","5,304.16","5,358.49","5,295.88","5,337.89","13,169,647,522","5,337.89"
"Apr 19, 2019","5,298.15","5,336.68","5,233.33","5,303.81","13,780,238,655","5,303.81"
"Apr 18, 2019","5,251.48","5,319.99","5,250.51","5,298.39","13,256,489,918","5,298.39"
"Apr 17, 2019","5,236.14","5,274.28","5,219.21","5,251.94","12,438,480,677","5,251.94"
"Apr 16, 2019","5,066.58","5,238.95","5,055.19","5,235.56","11,618,660,197","5,235.56"
"Apr 15, 2019","5,167.32","5,196.61","5,024.07","5,067.11","12,290,155,061","5,067.11"
"Apr 14, 2019","5,095.76","5,184.02","5,053.57","5,167.72","10,391,952,498","5,167.72"
"Apr 13, 2019","5,088.85","5,127.12","5,061.59","5,096.59","10,823,289,598","5,096.59"
"Apr 12, 2019","5,061.20","5,103.27","4,955.85","5,089.54","13,675,206,312","5,089.54"
"Apr 11, 2019","5,325.08","5,354.23","5,017.30","5,064.49","16,555,616,019","5,064.49"
"Apr 10, 2019","5,204.11","5,421.65","5,193.38","5,324.55","15,504,590,933","5,324.55"
"Apr 9, 2019","5,289.92","5,289.92","5,167.42","5,204.96","14,722,104,361","5,204.96"
"Apr 8, 2019","5,199.84","5,318.84","5,148.21","5,289.77","17,154,113,634","5,289.77"
"Apr 7, 2019","5,062.79","5,235.19","5,050.41","5,198.90","16,655,416,140","5,198.90"
"Apr 6, 2019","5,036.79","5,205.82","4,992.22","5,059.82","16,929,795,194","5,059.82"
"Apr 5, 2019","4,922.81","5,053.51","4,919.49","5,036.68","16,837,325,387","5,036.68"
"Apr 4, 2019","4,971.31","5,063.16","4,836.79","4,922.80","18,251,810,240","4,922.80"
"Apr 3, 2019","4,879.96","5,307.00","4,876.62","4,973.02","22,899,891,582","4,973.02"
"Apr 2, 2019","4,156.92","4,905.95","4,155.32","4,879.88","21,315,047,816","4,879.88"
"Apr 1, 2019","4,105.36","4,164.95","4,096.90","4,158.18","10,157,794,171","4,158.18"
"Mar 31, 2019","4,105.46","4,113.02","4,094.10","4,105.40","9,045,122,443","4,105.40"
"Mar 30, 2019","4,092.14","4,296.81","4,053.91","4,106.66","9,732,688,060","4,106.66"
"Mar 29, 2019","4,068.30","4,113.50","4,034.10","4,098.37","10,918,665,557","4,098.37"
"Mar 28, 2019","4,087.58","4,094.90","4,040.27","4,069.11","9,353,915,899","4,069.11"
"Mar 27, 2019","3,984.24","4,087.07","3,977.81","4,087.07","10,897,131,934","4,087.07"
"Mar 26, 2019","3,969.23","3,985.08","3,944.75","3,985.08","10,707,678,815","3,985.08"
"Mar 25, 2019","4,024.11","4,038.84","3,934.03","3,963.07","10,359,818,883","3,963.07"
"Mar 24, 2019","4,035.16","4,040.70","4,006.19","4,022.17","9,144,851,065","4,022.17"
"Mar 23, 2019","4,022.71","4,049.88","4,015.96","4,035.83","9,578,850,549","4,035.83"
"Mar 22, 2019","4,028.51","4,053.91","4,021.54","4,023.97","9,252,935,969","4,023.97"
"Mar 21, 2019","4,083.95","4,097.36","4,005.15","4,029.33","10,831,212,662","4,029.33"
"Mar 20, 2019","4,070.79","4,089.46","4,031.11","4,087.48","10,175,916,388","4,087.48"
"Mar 19, 2019","4,032.69","4,082.22","4,023.81","4,071.19","9,344,919,956","4,071.19"
"Mar 18, 2019","4,029.97","4,071.56","4,009.12","4,032.51","9,646,954,186","4,032.51"
"Mar 17, 2019","4,047.72","4,054.12","4,006.41","4,025.23","8,221,625,400","4,025.23"
"Mar 16, 2019","3,963.90","4,077.04","3,961.66","4,048.73","9,856,166,973","4,048.73"
"Mar 15, 2019","3,926.66","3,968.54","3,914.02","3,960.91","9,394,210,605","3,960.91"
"Mar 14, 2019","3,905.58","3,946.50","3,901.30","3,924.37","10,480,789,570","3,924.37"
"Mar 13, 2019","3,913.05","3,926.60","3,891.90","3,906.72","9,469,184,841","3,906.72"
"Mar 12, 2019","3,903.76","3,926.89","3,863.56","3,909.16","9,809,887,079","3,909.16"
"Mar 11, 2019","3,953.74","3,966.38","3,889.24","3,905.23","10,125,901,903","3,905.23"
"Mar 10, 2019","3,966.17","3,966.17","3,924.38","3,951.60","9,713,267,607","3,951.60"
"Mar 9, 2019","3,894.55","3,987.24","3,892.39","3,963.31","10,796,103,518","3,963.31"
"Mar 8, 2019","3,913.23","3,950.43","3,875.23","3,901.13","10,638,638,944","3,901.13"
"Mar 7, 2019","3,903.38","3,939.37","3,894.11","3,911.48","9,584,165,519","3,911.48"
"Mar 6, 2019","3,897.08","3,919.51","3,871.46","3,903.94","9,175,291,529","3,903.94"
"Mar 5, 2019","3,759.83","3,903.92","3,745.18","3,896.38","10,174,126,415","3,896.38"
"Mar 4, 2019","3,845.09","3,867.38","3,733.75","3,761.56","9,029,175,788","3,761.56"
"Mar 3, 2019","3,862.27","3,875.48","3,836.91","3,847.18","7,253,558,152","3,847.18"
"Mar 2, 2019","3,855.32","3,874.61","3,832.13","3,864.42","7,578,786,076","3,864.42"
"Mar 1, 2019","3,853.76","3,907.80","3,851.69","3,859.58","7,661,247,975","3,859.58"
